Rk,Player,Bats,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,
4,Rafael Devers,Left,28,BOS,1,39,177,145,23,37,11,0,6,25,1,0,29,46,0.255,0.379,0.455,0.834,133,66,2,1,0,2,2,
7,Alex Bregman,Right,31,BOS,2.3,38,171,151,28,48,15,0,9,30,1,1,15,31,0.318,0.392,0.596,0.988,173,90,2,4,0,1,1,
48,Trevor Story,Right,32,BOS,0.5,37,155,146,18,37,2,0,5,16,8,0,7,46,0.253,0.297,0.37,0.667,86,54,0,2,0,0,0,
95,Wilyer Abreu,Left,26,BOS,2.1,37,144,123,22,35,7,0,9,25,4,0,21,30,0.285,0.389,0.561,0.95,163,69,2,0,0,0,4,
106,Kristian Campbell,Right,23,BOS,0.6,33,139,119,18,33,8,0,4,13,2,1,19,35,0.277,0.374,0.445,0.819,130,53,0,0,0,1,0,
145,Ceddanne Rafaela,Right,24,BOS,1.4,34,125,113,19,27,4,1,2,15,7,0,8,22,0.239,0.298,0.345,0.644,81,39,0,2,1,1,0,
170,Triston Casas,Left,25,BOS,-0.9,29,112,99,5,18,3,0,3,11,0,0,11,27,0.182,0.277,0.303,0.58,63,30,3,2,0,0,2,
221,Carlos Narváez,Right,26,BOS,0.7,26,97,90,12,20,5,0,3,11,0,1,7,24,0.222,0.278,0.378,0.656,83,34,2,0,0,0,0,
322,Romy González,Right,28,BOS,0.5,17,58,52,10,16,6,0,0,6,3,1,4,12,0.308,0.362,0.423,0.785,120,22,1,1,0,1,0,
349,David Hamilton,Left,27,BOS,-0.1,17,47,44,6,7,1,0,1,3,5,0,2,12,0.159,0.196,0.25,0.446,24,11,0,0,1,0,0,
371,Rob Refsnyder,Right,34,BOS,0.4,13,40,37,6,12,3,0,2,5,2,0,2,11,0.324,0.35,0.568,0.918,153,21,2,0,0,1,0,
382,Connor Wong,Right,29,BOS,0,12,38,34,3,5,0,0,0,0,1,0,3,9,0.147,0.237,0.147,0.384,11,5,2,1,0,0,0,
428,Blake Sabol,Left,27,BOS,-0.2,8,18,16,2,2,1,0,0,1,0,0,1,7,0.125,0.167,0.188,0.354,0,3,1,0,0,1,0,
464,Abraham Toro,Both,28,BOS,-0.3,4,9,9,0,1,0,0,0,0,0,0,0,1,0.111,0.111,0.111,0.222,-37,1,0,0,0,0,0,
