Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Max Muncy,235,0.315,0.685,0.409,0.23,0.047,0.515,0.323,0.162,0.2,0.111,0.004,0.315,0.213,0.157,LAD,70,11,2,0,3,7,22,0.157,0.25,0.314,80,2,0,1,243,65,8,2,16,57,61,0.267,0.409,0.514,308,4,0,4
Anthony Santander,134,0.373,0.627,0.254,0.239,0.134,0.515,0.306,0.179,0.201,0.157,0.015,0.313,0.149,0.164,TOR,48,7,2,0,0,7,20,0.146,0.255,0.188,55,0,0,0,146,27,3,0,6,18,41,0.185,0.277,0.329,166,1,0,1
Kyle Schwarber,408,0.343,0.657,0.343,0.225,0.088,0.547,0.282,0.172,0.235,0.1,0.007,0.311,0.181,0.164,PHI,234,59,8,2,23,36,77,0.252,0.366,0.598,276,6,0,0,370,86,15,0,33,72,120,0.232,0.364,0.541,448,5,0,1
Jose Ramirez,525,0.333,0.667,0.299,0.255,0.112,0.516,0.301,0.183,0.208,0.101,0.025,0.309,0.2,0.158,CLE,174,56,11,2,6,18,18,0.322,0.385,0.511,196,1,0,2,419,112,23,1,24,48,56,0.267,0.35,0.499,477,7,0,3
Pete Crow-Armstrong,454,0.335,0.665,0.355,0.216,0.095,0.489,0.304,0.207,0.187,0.115,0.033,0.302,0.189,0.174,CHC,170,32,9,1,7,5,55,0.188,0.217,0.376,188,3,4,6,421,114,28,3,24,24,100,0.271,0.315,0.523,459,6,2,6
Sal Stewart,40,0.35,0.65,0.4,0.225,0.025,0.525,0.275,0.2,0.225,0.1,0.025,0.3,0.175,0.175,CIN,7,2,0,0,1,0,1,0.286,0.286,0.714,7,0,0,0,48,12,1,0,4,3,14,0.25,0.294,0.521,51,0,0,0
Cedric Mullins,324,0.324,0.676,0.318,0.231,0.127,0.463,0.299,0.238,0.167,0.108,0.049,0.296,0.191,0.188,NYM,112,30,7,1,3,15,21,0.268,0.354,0.429,31,0,1,0,323,64,16,0,14,35,99,0.198,0.279,0.378,112,2,1,2
Jake Fraley,142,0.345,0.655,0.261,0.303,0.092,0.5,0.282,0.218,0.204,0.092,0.049,0.296,0.19,0.169,ATL,9,2,0,0,0,2,3,0.222,0.364,0.222,9,0,0,0,182,44,9,0,6,23,46,0.242,0.33,0.39,184,1,0,0
Daulton Varsho,176,0.295,0.705,0.375,0.205,0.125,0.506,0.273,0.222,0.21,0.057,0.028,0.295,0.216,0.193,TOR,50,13,0,0,2,4,14,0.26,0.321,0.38,56,1,0,1,198,46,13,2,18,13,63,0.232,0.274,0.591,215,0,0,4
Will Robertson,44,0.295,0.705,0.227,0.273,0.205,0.432,0.364,0.205,0.136,0.159,0.0,0.295,0.205,0.205,CWS,9,2,0,0,0,0,3,0.222,0.2,0.222,8,0,0,1,61,7,1,0,0,2,24,0.115,0.169,0.131,10,1,0,0
David Fry,88,0.364,0.636,0.284,0.182,0.17,0.5,0.33,0.17,0.205,0.125,0.034,0.295,0.205,0.136,CLE,113,20,4,0,6,5,44,0.177,0.225,0.372,120,2,0,0,33,5,0,0,2,4,14,0.152,0.243,0.333,37,0,0,0
Jesse Winker,51,0.373,0.627,0.196,0.216,0.216,0.549,0.216,0.235,0.255,0.118,0.0,0.294,0.098,0.235,NYM,5,1,0,1,0,0,2,0.2,0.2,0.6,5,0,0,0,65,15,5,1,1,9,19,0.231,0.316,0.385,76,0,0,2
Dalton Rushing,86,0.349,0.651,0.314,0.244,0.093,0.523,0.279,0.198,0.233,0.093,0.023,0.291,0.186,0.174,LAD,35,6,0,0,0,3,15,0.171,0.244,0.171,41,1,0,2,107,23,5,0,4,7,43,0.215,0.263,0.374,114,0,0,0
